0     | 137
1     | 109
2     | 109
3     | 82
4     | 168
5     | 154
6     | 46
7     | 73
8     | 45
9     | 84
10    | 78
11    | 72
12    | 49
13    | 143
14    | 112
15    | 134
16    | 146
17    | 64
18    | 188
19    | 101
20    | 113
21    | 155
22    | 96
23    | 60
24    | 124
25    | 149
26    | 141
27    | 66
28    | 110
29    | 93
30    | 46
31    | 52
32    | 90
33    | 140
34    | 11
35    | 115
36    | 111
37    | 101
38    | 115
39    | 53
40    | 117
41    | 194
42    | 96
43    | 78
44    | 14
45    | 53
46    | 156
47    | 131
48    | 175
49    | 64
50    | 58
51    | 34
52    | 61
53    | 66
54    | 40
55    | 89
56    | 21
57    | 95
58    | 88
59    | 122
60    | 132
61    | 82
62    | 101
63    | 72
64    | 85
65    | 89
66    | 18
67    | 194
68    | 33
69    | 86
70    | 198
71    | 192
72    | 128
73    | 141
74    | 132
75    | 86
76    | 61
77    | 6
78    | 159
79    | 4
80    | 16
81    | 105
82    | 99
83    | 119
84    | 102
85    | 129
86    | 6
87    | 184
88    | 155
89    | 55
90    | 182
91    | 15
92    | 47
93    | 108
94    | 132
95    | 188
96    | 69
97    | 114
98    | 125
99    | 33
100   | 120
101   | 176
102   | 58
103   | 63
104   | 137
105   | 0
106   | 45
107   | 196
108   | 108
109   | 174
110   | 12
111   | 158
112   | 145
113   | 7
114   | 138
115   | 111
116   | 46
117   | 35
118   | 0
119   | 100
120   | 1
121   | 97
122   | 155
123   | 164
124   | 82
125   | 6
126   | 167
127   | 138
128   | 103
129   | 2
130   | 58
131   | 110
132   | 58
133   | 119
134   | 35
135   | 38
136   | 149
137   | 6
138   | 153
139   | 4
140   | 86
141   | 8
142   | 31
143   | 45
144   | 77
145   | 86
146   | 117
147   | 134
148   | 170
149   | 61
150   | 130
151   | 106
152   | 163
153   | 1
154   | 173
155   | 68
156   | 155
157   | 197
158   | 59
159   | 86
160   | 7
161   | 93
162   | 131
163   | 180
164   | 114
165   | 176
166   | 14
167   | 184
168   | 80
169   | 189
170   | 162
171   | 51
172   | 95
173   | 96
174   | 141
175   | 156
176   | 1
177   | 193
178   | 30
179   | 0
180   | 166
181   | 42
182   | 127
183   | 134
184   | 175
185   | 99
186   | 78
187   | 13
188   | 157
189   | 28
190   | 3
191   | 189
192   | 160
193   | 102
194   | 77
195   | 95
196   | 147
197   | 182
198   | 53
199   | 178
200   | 109
201   | 47
202   | 140
203   | 83
204   | 50
205   | 123
206   | 72
207   | 0
208   | 96
209   | 150
210   | 177
211   | 161
212   | 166
213   | 199
214   | 154
215   | 163
216   | 22
217   | 59
218   | 68
219   | 195
220   | 156
221   | 127
222   | 180
223   | 3
224   | 126
225   | 162
226   | 92
227   | 156
228   | 115
229   | 38
230   | 126
231   | 64
232   | 136
233   | 177
234   | 157
235   | 106
236   | 37
237   | 52
238   | 150
239   | 13
240   | 159
241   | 135
242   | 84
243   | 85
244   | 198
245   | 78
246   | 106
247   | 110
248   | 70
249   | 93
250   | 16
251   | 192
252   | 116
253   | 51
254   | 185
255   | 140
256   | 62
257   | 30
258   | 155
259   | 141
260   | 117
261   | 171
262   | 173
263   | 29
264   | 118
265   | 192
266   | 191
267   | 43
268   | 139
269   | 104
270   | 195
271   | 166
272   | 73
273   | 81
274   | 49
275   | 49
276   | 3
277   | 166
278   | 112
279   | 99
280   | 187
281   | 52
282   | 129
283   | 169
284   | 48
285   | 28
286   | 117
287   | 35
288   | 124
289   | 100
290   | 63
291   | 72
292   | 20
293   | 41
294   | 188
295   | 78
296   | 107
297   | 22
298   | 127
299   | 10
300   | 184
301   | 58
302   | 73
303   | 192
304   | 131
305   | 104
306   | 134
307   | 80
308   | 103
309   | 64
310   | 18
311   | 133
312   | 25
313   | 158
314   | 186
315   | 107
316   | 198
317   | 188
318   | 143
319   | 100
320   | 147
321   | 193
322   | 28
323   | 40
324   | 86
325   | 157
326   | 25
327   | 15
328   | 170
329   | 192
330   | 169
331   | 187
332   | 24
333   | 6
334   | 54
335   | 175
336   | 104
337   | 153
338   | 133
339   | 62
